<<<<<<< HEAD
1,Order Completed,2020-05-16 18:10:34.413392,8
1,Order Completed,2020-05-16 18:12:47.900471,7
=======
1,Order Completed,2020-05-16 18:09:33.948064,8
1,Order Completed,2020-05-16 18:12:30.451621,7
>>>>>>> b227947101652c6b2136ee8977dde6c1bf017bb1
1,Order Completed,2020-05-17 09:19:19.925527,8
1,Order Completed,2020-05-17 09:27:04.059003,7
1,Order Completed,2020-05-17 11:38:12.091369,13
1,Order Completed,2020-05-17 11:38:19.464808,11
1,Order Completed,2020-05-17 11:38:22.967128,9
1,Order Completed,2020-05-17 11:38:31.000894,7
1,Order Completed,2020-05-17 11:38:32.876810,5
1,Order Completed,2020-05-17 11:38:35.358208,3
1,Order Completed,2020-05-17 11:38:51.000619,1
